schema_version,recorded_at_utc,git_sha,git_ref,workflow_run_id,os,arch,compiler,build_type,benchmark_suite,benchmark_name,frames,dt_seconds,milliseconds_total,milliseconds_per_frame,metric_type,median_milliseconds_per_frame,stddev_milliseconds_per_frame,cv_percent,peak_rss_kb,allocator_delta_bytes,golden_milliseconds_per_frame,regression_percent,threshold_percent,pass_fail,machine_tag
1,2026-03-15T18:42:46Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23116722339,macos,arm64,clang,Release,performance,particle_integration_kernel,200,0.0166667,0.251000,0.001255,median,0.000420,0.000010,2.45,2336,16152,0.006365,-93.40,2.00,PASS,macos-14-gha
1,2026-03-15T18:42:46Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23116722339,macos,arm64,clang,Release,performance,solver,200,0.0166667,0.269000,0.001345,total,0.001345,0.000000,0.00,1920,9728,0.016085,-91.64,5.00,PASS,macos-14-gha
1,2026-03-16T04:47:19Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23128292692,linux,x64,clang,Release,performance,broadphase,200,0.0166667,53.889000,0.269445,total,0.269445,0.000000,0.00,4352,64512,1.497700,-82.01,5.00,PASS,ubuntu-22.04-gha
1,2026-03-16T04:47:19Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23128292692,linux,x64,clang,Release,performance,complex_deterministic_scene,100,0.0166667,7.143000,0.071430,median,0.014200,0.000913,6.43,4352,11432,0.057350,-75.24,10.00,PASS,ubuntu-22.04-gha
1,2026-03-16T04:47:19Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23128292692,linux,x64,clang,Release,performance,gjk,2000,0.0166667,0.297000,0.000149,total,0.000149,0.000000,0.00,4352,144,0.000677,-78.06,5.00,PASS,ubuntu-22.04-gha
1,2026-03-16T04:47:19Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23128292692,linux,x64,clang,Release,performance,particle_integration_kernel,200,0.0166667,0.312000,0.001560,median,0.000470,0.000074,15.80,4480,16152,0.006365,-92.62,2.00,PASS,ubuntu-22.04-gha
1,2026-03-16T04:47:19Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23128292692,linux,x64,clang,Release,performance,solver,200,0.0166667,0.555000,0.002775,total,0.002775,0.000000,0.00,4352,9728,0.016085,-82.75,5.00,PASS,ubuntu-22.04-gha
1,2026-03-16T04:47:29Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23128292692,windows,x64,msvc,Release,performance,broadphase,200,0.0166667,78.079000,0.390395,total,0.390395,0.000000,0.00,4656,44500,1.497700,-73.93,5.00,PASS,windows-2022-gha
1,2026-03-16T04:47:29Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23128292692,windows,x64,msvc,Release,performance,complex_deterministic_scene,100,0.0166667,10.707000,0.107070,median,0.021340,0.000570,2.67,4612,11796,0.057350,-62.79,10.00,PASS,windows-2022-gha
1,2026-03-16T04:47:29Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23128292692,windows,x64,msvc,Release,performance,gjk,2000,0.0166667,0.341000,0.000171,total,0.000171,0.000000,0.00,4656,144,0.000677,-74.82,5.00,PASS,windows-2022-gha
